name,address,mapLink,district,pinCode,mobile
Shetkari Krushi Seva Kendra,"A/P Sonai, Tal- Newasa, Dist- Ahilyanagar.",https://maps.app.goo.gl/V7QnSB7dhDG8cA9u6,ahmednagar,414105,9995551114
Nath Krushi Seva Kendra,"Ganeshwadi Rd, Sonai, Maharashtra",https://maps.app.goo.gl/Wr5prPkFMPK1vSJM9,ahmednagar,414105,5554444777
GHODESHAWARI KRUSHI SEVA KENDRA,"Sonai - Ghodegaon Rd, Ghodegaon, Maharashtra",https://maps.app.goo.gl/DPz9DXP1qjXwLg2L6,ahmednagar,414607,544445
Shri Swami Samartha Krushi Seva kendra,"Bhimashankar - Manchar Rd, Ghodegaon, Maharashtra",https://maps.app.goo.gl/E57rsfPmwSXjUeDPA,ahmednagar,412408,9995551114
